"","Query","Tax","Matching","MapQ","AS.max"
"945","0ece1f36-ffa4-43d8-b43d-9995792bd23f","Lactobacillus_paracasei",85.968514715948,1,1662
"950","0edff1fa-1f9e-464b-bad8-dae7c32c7546","Lactobacillus_ginsenosidimutans",79.5172863666014,0,1106
"952","0ef25bb7-756f-4dcb-9558-ce12574db7ad","Lactobacillus_paracasei",82.0143884892086,0,1422
"955","0f2cb6c8-4126-47ab-9db1-0329e7ede76d","Lactobacillus_oris",93.4907010014306,1,2218
"958","0f3d60e4-1609-4259-a8d5-565c9dabe50d","Lactobacillus_casei",92.8522804628999,0,2248
"962","0f4113e7-8e36-4e70-8dd9-4be39c01d4b1","Lactobacillus_fermentum",91.7505030181087,1,2194
"964","0f5af263-5a9b-4c82-a9b1-fe45eaff3a83","Lactobacillus_casei",75.1537515375154,0,846
"971","0f6f77da-a6c4-48f0-bfdb-c783e8419c4e","Lactobacillus_fermentum",95.8904109589041,0,2534
"975","0f7a5b17-7b2f-4db7-a315-bd76e05c1593","Lactobacillus_brevis",84.8171152518979,0,1568
"980","0fa43877-426a-4c53-9a43-7625db510064","Lactobacillus_casei",87.8303198887344,0,1772
"984","0fabc277-1ce8-4922-a38b-5b23a71779b5","Pediococcus_claussenii",86.8300153139357,0,1554
"988","0fafd198-74fa-4fa0-afd9-3cd74b6a7241","Lactobacillus_paracasei",78.118609406953,1,958
"994","0fb330d7-db1a-4402-8894-4eec28a19b8f","Lactobacillus_rhamnosus",88.4531590413943,1,1760
"995","0fbe3fce-af5f-49a1-b040-8e3a2db2d5cf","Lactobacillus_casei",88.1660899653979,0,1814
